tt,Lt
0.1,1.428480721457715e-10
0.15117750706156624,2.1594627619311794e-10
0.22854638641349906,3.264441937003654e-10
0.3455107294592219,4.934690551869159e-10
0.5223345074266842,7.459202185562384e-10
0.7896522868499727,1.1274488468957896e-09
1.1937766417144364,1.703958556630945e-09
1.8047217668271702,2.5748820282224297e-09
2.728333376486768,3.890086062111629e-09
4.1246263829013525,5.8751043290224315e-09
6.235507341273915,8.868550615219924e-09
9.426684551178854,1.3377028733746021e-08
14.251026703029977,2.0154455764349918e-08
21.544346900318846,3.0313834110306774e-08
32.57020655659783,4.5478543329583064e-08
49.238826317067414,6.797369232850711e-08
74.43803013251689,1.0103959651570685e-07
112.53355826007646,1.4901010001243132e-07
170.1254279852589,2.1733261515944732e-07
257.19138090593447,3.1222794551517216e-07
388.81551803080896,4.397465903626512e-07
587.8016072274912,6.040892775007089e-07
888.6238162743407,8.056194128530258e-07
1343.3993325989015,1.0395207985593302e-06
2030.9176209047348,1.2952354873313258e-06
3070.2906297578497,1.558231184840836e-06
4641.588833612782,1.812416768679899e-06
7017.038286703822,2.0435024821895942e-06
10608.183551394482,2.241543909389434e-06
16037.187437513308,2.4021603506309273e-06
24244.62017082331,2.526243623056009e-06
36652.41237079626,2.6182644563417077e-06
55410.203300094916,2.684336665340473e-06
83767.76400682924,2.7306296566462444e-06
126638.01734674022,2.762489475569681e-06
191448.19761699575,2.7841399444670893e-06
289426.61247167515,2.7987239183014837e-06
437547.9375074189,2.808489072256699e-06
661474.0641230146,2.8150011870898345e-06
1000000.0,2.819332159050994e-06
