Time	Timeer	Eb	Eber	Ep	Eper
1.0	1.0	21.0	8.8	2411.3	602.0
3.0	1.0	46.7	8.2	951.6	47.4
5.0	1.0	30.7	3.3	721.0	47.5
7.0	1.0	64.3	4.9	1543.0	47.5
9.0	1.0	30.0	2.7	1053.6	72.0
11.0	1.0	28.5	2.4	567.1	135.7
14.0	2.0	19.9	3.6	257.3	205.7
17.0	1.0	20.6	4.2	275.0	40.9
19.0	1.0	27.2	2.8	580.0	86.5
21.0	1.0	23.8	2.9	319.6	45.8
23.0	1.0	24.2	2.6	335.2	51.5
25.0	1.0	24.8	2.7	305.5	47.9
28.0	2.0	24.3	0.9	83.9	30.3
32.0	2.0	17.2	3.7	69.8	16.9
36.0	2.0	20.2	1.6	225.6	50.9
40.0	2.0	17.6	4.2	76.3	15.9
