t,L_const,L_sum_in,L_sum_de,L_Q1in,L_Q1de
10.0,4.813776567194617e+37,4.813776567194617e+37,4.813776567194617e+37,2.406888283597309e+38,2.4068882835973084e+37
12.394252485211958,5.963453742993237e+37,5.963453742993237e+37,5.963453742993237e+37,2.9817268714966188e+38,2.9817268714966185e+37
15.36174946671828,7.386861556120185e+37,7.386861556120185e+37,7.386861556120185e+37,3.6934307780600935e+38,3.6934307780600923e+37
19.03974015050766,9.148720419655573e+37,9.148720419655573e+37,9.148720419655573e+37,4.574360209827786e+38,4.574360209827786e+37
23.598334667821938,1.1328811072815703e+38,1.1328811072815703e+38,1.1328811072815703e+38,5.664405536407851e+38,5.664405536407851e+37
29.24837181035157,1.4025349685997478e+38,1.4025349685997478e+38,1.4025349685997478e+38,7.012674842998739e+38,7.012674842998739e+37
36.25117049988533,1.7359049804641463e+38,1.7359049804641463e+38,1.7359049804641463e+38,8.679524902320733e+38,8.679524902320731e+37
44.93061600600463,2.1477972790017924e+38,2.1477972790017924e+38,2.1477972790017924e+38,1.073898639500896e+39,1.0738986395008962e+38
55.6881399094527,2.6563261093242132e+38,2.6563261093242132e+38,2.6563261093242132e+38,1.3281630546621065e+39,1.3281630546621066e+38
69.02128664695654,3.2835824452285823e+38,3.2835824452285823e+38,3.2835824452285823e+38,1.6417912226142914e+39,1.6417912226142912e+38
85.5467253556568,4.056399735888243e+38,4.056399735888243e+38,4.056399735888243e+38,2.0281998679441215e+39,2.0281998679441213e+38
106.02877133410941,5.007209173371213e+38,5.007209173371213e+38,5.007209173371213e+38,2.503604586685607e+39,2.5036045866856065e+38
131.41473626117568,6.174961092965379e+38,6.174961092965379e+38,6.174961092965379e+38,3.0874805464826886e+39,3.0874805464826896e+38
162.878742149855,7.606064349067788e+38,7.606064349067788e+38,7.606064349067788e+38,3.8030321745338955e+39,3.803032174533894e+38
201.8760254679039,9.35525875117972e+38,9.35525875117972e+38,9.35525875117972e+38,4.677629375589861e+39,4.67762937558986e+38
250.21024303602817,1.1486284269348481e+39,1.1486284269348481e+39,1.1486284269348481e+39,5.74314213467424e+39,5.7431421346742405e+38
310.1168926574779,1.4072144186393177e+39,1.4072144186393177e+39,1.4072144186393177e+39,7.03607209319659e+39,7.036072093196588e+38
384.3667067526153,1.7194682590896016e+39,1.7194682590896016e+39,1.7194682590896016e+39,8.597341295448008e+39,8.597341295448008e+38
476.39380104013406,2.094312547555365e+39,2.094312547555365e+39,2.094312547555365e+39,1.0471562737776824e+40,1.0471562737776825e+39
590.4545052481255,2.5411203299121908e+39,2.5411203299121908e+39,2.5411203299121908e+39,1.2705601649560955e+40,1.2705601649560954e+39
731.8242219076174,3.069253792510939e+39,3.069253792510939e+39,3.069253792510939e+39,1.5346268962554698e+40,1.5346268962554696e+39
907.04141811168,3.687420755300676e+39,3.687420755300676e+39,3.687420755300676e+39,1.8437103776503378e+40,1.843710377650338e+39
1124.2100350620863,4.4028835022858286e+39,4.4028835022858286e+39,4.4028835022858286e+39,2.2014417511429146e+40,2.2014417511429143e+39
1393.3743020968493,5.220608438071912e+39,5.220608438071912e+39,5.220608438071912e+39,2.6103042190359567e+40,2.610304219035956e+39
1726.983290659436,6.1424791397258e+39,6.1424791397258e+39,6.1424791397258e+39,3.0712395698629004e+40,3.0712395698629e+39
2140.466694217523,7.166671031940022e+39,7.166671031940022e+39,7.166671031940022e+39,3.5833355159700105e+40,3.583335515970011e+39
2652.9484644318973,8.287209980507704e+39,8.287209980507704e+39,8.287209980507704e+39,4.143604990253852e+40,4.143604990253852e+39
3288.1313098424275,9.493698416377592e+39,9.493698416377592e+39,9.493698416377592e+39,4.746849208188795e+40,4.746849208188796e+39
4075.392965871778,1.0771252218743713e+40,1.0771252218743713e+40,1.0771252218743713e+40,5.385626109371856e+40,5.3856261093718565e+39
5051.144939547159,1.210073450186048e+40,1.210073450186048e+40,1.210073450186048e+40,6.0503672509302395e+40,6.05036725093024e+39
6260.516572014822,1.345929051631961e+40,1.345929051631961e+40,1.345929051631961e+40,6.729645258159807e+40,6.729645258159806e+39
7759.442308140531,1.482109800958321e+40,1.482109800958321e+40,1.482109800958321e+40,7.410549004791606e+40,7.410549004791604e+39
9617.248711152964,1.6158242531717732e+40,1.6158242531717732e+40,1.6158242531717732e+40,8.079121265858865e+40,8.079121265858866e+39
11919.860873910919,1.744165935514213e+40,1.744165935514213e+40,1.744165935514213e+40,8.720829677571066e+40,8.720829677571065e+39
14773.776525985097,1.8642127550817153e+40,1.8642127550817153e+40,1.8642127550817153e+40,9.321063775408578e+40,9.321063775408576e+39
18310.991642315734,1.9731369411488707e+40,1.9731369411488707e+40,1.9731369411488707e+40,9.865684705744354e+40,9.865684705744354e+39
22695.105366946686,2.0683414124720914e+40,2.0683414124720914e+40,2.0683414124720914e+40,1.0341707062360458e+41,1.0341707062360457e+40
28128.886609642635,2.1476527747023768e+40,2.1476527747023768e+40,2.1476527747023768e+40,1.0738263873511886e+41,1.0738263873511884e+40
34863.65227678088,2.209612394749553e+40,2.209612394749553e+40,2.209612394749553e+40,1.1048061973747765e+41,1.1048061973747765e+40
43210.89088750563,2.2538910147652937e+40,5.210718454697043e+40,1.884287584773825e+40,1.1269455073826468e+41,1.1269455073826469e+40
53556.669177068965,2.281760891175793e+40,9.38330251945752e+40,1.394068187640577e+40,1.1408804455878965e+41,1.1408804455878965e+40
66379.4880047562,2.2963477634935526e+40,1.0744908144196057e+41,1.2402777159057395e+40,1.1481738817467768e+41,1.1481738817467763e+40
82272.41341700473,2.3021708376191267e+40,1.1286147807411304e+41,1.1791737163951044e+40,1.151085418809563e+41,1.1510854188095633e+40
101970.50644580972,2.303730581309575e+40,1.147139963879232e+41,1.157771949124232e+40,1.1518652906547875e+41,1.1518652906547875e+40
126384.82029342972,2.303962984806967e+40,1.1514526812637638e+41,1.1526425063281328e+40,1.1519814924034835e+41,1.1519814924034834e+40
156644.53730149087,2.3039776299322182e+40,1.1519674466407089e+41,1.1520155253728594e+40,1.151988814966109e+41,1.1519888149661091e+40
194149.19457438815,2.303977861550962e+40,1.1519887718645496e+41,1.1519891294141453e+40,1.1519889307754812e+41,1.151988930775481e+40
240633.41373555118,2.3039778249285003e+40,1.1519889255073585e+41,1.1519888961603646e+40,1.15198891246425e+41,1.1519889124642501e+40
298247.1286216894,2.303977779781618e+40,1.151988902672952e+41,1.1519888739131304e+40,1.151988889890809e+41,1.151988889890809e+40
369655.02151266986,2.303977726078236e+40,1.1519888752377652e+41,1.1519888477908093e+40,1.1519888630391184e+41,1.151988863039118e+40
458159.7669054491,2.3039776630810614e+40,1.15198884301462e+41,1.1519888171979192e+40,1.1519888315405308e+41,1.1519888315405307e+40
567854.7829591997,2.3039775900571067e+40,1.1519888056933567e+41,1.1519887816975492e+40,1.1519887950285534e+41,1.1519887950285533e+40
703813.5554931562,2.303977506277767e+40,1.1519887629528703e+41,1.1519887408713999e+40,1.1519887531388836e+41,1.1519887531388835e+40
872324.2909296902,2.3039774110187166e+40,1.1519887144635282e+41,1.1519886943166458e+40,1.1519887055093584e+41,1.1519887055093583e+40
1081180.7510766077,2.3039773035597604e+40,1.1519886598891642e+41,1.151988641643275e+40,1.1519886517798803e+41,1.1519886517798802e+40
1340042.7210994584,2.3039771831846707e+40,1.1519885988887161e+41,1.1519885824718595e+40,1.1519885915923355e+41,1.1519885915923354e+40
1660882.7826277167,2.3039770491810213e+40,1.1519885311175715e+41,1.1519885164316845e+40,1.1519885245905108e+41,1.1519885245905107e+40
2058540.055622934,2.303976900840024e+40,1.1519884562286654e+41,1.151988443159195e+40,1.1519884504200122e+41,1.151988450420012e+40
2551406.5200312873,2.303976737456379e+40,1.1519883738733764e+41,1.1519883622967062e+40,1.1519883687281897e+41,1.1519883687281896e+40
3162277.6601683795,2.3039765583281384e+40,1.1519882837022506e+41,1.1519882734913424e+40,1.1519882791640692e+41,1.1519882791640692e+40
