t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
10.0,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37,4.0779774058630215e+37
11.364636663857247,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37,4.633205640223991e+37
12.91549665014884,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37,5.263833556963592e+37
14.677992676220699,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37,5.980043298775158e+37
16.68100537200059,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37,6.793375417286534e+37
18.957356524063755,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37,7.716905260404216e+37
21.544346900318832,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37,8.76544084591036e+37
24.484367468222267,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37,9.955744416672704e+37
27.825594022071243,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38,1.1306779965426234e+38
31.622776601683793,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38,1.2839989065619481e+38
35.938136638046274,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38,1.4579597328446879e+38
40.842386526745216,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38,1.6552953697691638e+38
46.41588833612777,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38,1.879090455825401e+38
52.749970637026195,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38,2.1328204226429784e+38
59.94842503189409,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38,2.420396275367718e+38
68.12920690579611,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38,2.7462131040585023e+38
77.4263682681127,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38,3.1152021938113383e+38
87.99225435691069,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38,3.532886420566618e+38
100.0,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38,4.005438377890488e+38
113.64636663857242,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38,4.539740363626913e+38
129.1549665014884,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38,5.143444949110005e+38
146.7799267622069,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38,5.825034342175599e+38
166.81005372000593,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38,6.593876124426588e+38
189.57356524063755,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38,7.460272183151194e+38
215.44346900318823,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38,8.435496767579759e+38
244.84367468222268,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38,9.531818591439638e+38
278.2559402207126,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39,1.0762500816775161e+39
