keV	keVe	f	fe	mod
11.3240004	0.505000114	270.743835	35.1656265	260.332642
12.3415003	0.512499809	318.604187	35.903019	294.686432
13.3769999	0.522999763	360.48465	36.0774269	331.804108
14.4379997	0.538000107	325.010895	34.5196228	370.096008
15.5299997	0.553999901	396.53067	37.179512	409.553314
16.651001	0.567000389	449.5849	39.2144089	449.829742
17.8945007	0.676499367	472.22583	37.9330063	495.084991
19.2599983	0.68900013	476.051239	39.2537727	542.35376
20.6479988	0.699000359	641.194824	44.8399811	589.487366
22.0555	0.708499908	553.200623	44.5379944	637.336182
23.4829998	0.718999863	620.007202	48.5897446	683.271484
24.9329987	0.730999947	675.419373	51.8026466	725.621033
26.5149994	0.850999832	663.712402	50.3083153	774.112915
42.4700012	0.948999405	1095.15686	95.4002838	1130.58545
44.3894997	0.970500946	859.538269	87.1952591	1150.38171
46.3499985	0.989999771	1179.9812	102.871063	1199.91357
48.3495026	1.0095005	1121.6427	102.964035	1217.60486
50.4889984	1.12999916	1229.42249	104.538704	1240.60596
52.7679977	1.14900017	1136.86035	104.644623	1289.86279
55.0830002	1.16600037	1291.98743	112.143593	1301.74475
57.4305	1.18149948	1402.06616	118.428658	1325.28979
59.9165001	1.30450058	1233.25623	110.777695	1378.04382
62.5384979	1.31749916	1265.70703	114.188507	1372.61157
65.1849976	1.32900047	1384.49634	122.952446	1411.30151
67.9640045	1.45000076	1185.56873	115.666695	1463.09106
70.8704987	1.45650101	1403.38757	124.479347	1437.48926
73.788002	1.46099854	1498.06824	132.608871	1499.22717
76.822998	1.57400131	1341.68835	124.827003	1517.68005
79.9685059	1.57149887	1549.99707	136.441879	1524.16577
83.1060028	1.56599808	1238.74622	130.495544	1596.1532
86.3434982	1.67150116	1608.79626	142.790466	1550.93164
89.6804962	1.66550064	1631.41357	151.338852	1624.33691
93.0070038	1.6609993	1627.41223	154.269669	1616.91541
96.4349976	1.76700211	1652.98853	156.017365	1654.58081
99.9654999	1.7634964	1653.95679	160.989578	1677.27783
103.489998	1.76100159	1693.52759	167.145462	1685.05933
107.120499	1.86949921	1856.74341	175.946335	1728.52234
110.859497	1.86949921	1654.31824	171.210037	1717.84863
114.709	1.98000336	1829.73022	182.048904	1778.08044
118.671501	1.98249817	1824.28833	185.4832	1751.57739
122.750504	2.0965004	1763.7113	186.132477	1825.81909
126.948502	2.10150146	1612.94299	180.53569	1786.48865
131.266998	2.21699524	2037.03113	205.259674	1871.62769
135.705994	2.22200012	1509.02856	181.654678	1822.96423
140.155487	2.22750092	1790.26025	206.746704	1912.01465
144.72699	2.34400177	2040.38281	217.65007	1865.89502
149.420502	2.34950256	1422.22961	195.575546	1946.74463
154.237503	2.46749878	2207.92261	236.125458	1911.45874
159.291504	2.58650208	2180.55396	242.154846	1981.30139
164.470505	2.59249878	1825.31836	229.709167	1956.01904
169.774994	2.71199799	1802.71777	235.181671	2014.97156
175.206497	2.71949768	1757.45129	242.201035	2004.5929
180.765503	2.83950043	2490.4668	291.730225	2044.45642
186.452499	2.84750366	1665.71057	259.262054	2057.73193
192.269012	2.96900177	2085.41113	290.790497	2069.4502
198.329498	3.09149933	2045.93457	295.839325	2112.95752
204.520996	3.09999847	1631.51892	277.166382	2094.38745
210.844498	3.22349548	2319.94287	335.946442	2171.80981
217.416	3.3480072	1912.16357	312.931854	2116.12793
224.121002	3.35699463	2384.29272	370.588928	2233.27637
234.570007	7.09200287	1777.28235	240.840286	2199.93262
245.398499	3.73649597	2113.98315	381.209564	2180.61133
256.757996	7.62300873	1317.26025	242.098846	2265.14697
268.385986	4.00498962	2274.60278	450.44812	2298.54077
280.672485	8.2815094	2119.63794	329.704224	2310.08862
297.641998	8.68798828	2347.1792	371.355072	2348.95825
315.549011	9.2190094	2183.62524	382.879181	2387.55005
334.523987	9.7559967	2276.24121	420.307648	2424.96362
359.935486	15.6555023	2694.39697	408.538879	2458.81421
398.400513	22.809494	2001.06519	362.890686	2508.87036
